Trial 1
5 degree --> no rotation

1760654840.7176557,[  90.06221196    0.21528572 -173.72646435],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654840.9760976,[  90.07056587    0.25057591 -173.80927265],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654841.2250228,[  90.07630878    0.3093607  -173.95266736],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654841.4780185,[  90.08961101    0.37199802 -174.17536482],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654841.7464967,[  90.0995887     0.44811699 -174.42800795],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654842.015398,[  90.09375852    0.51555815 -174.67150565],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654842.2703187,[  90.10222585    0.5582128  -174.87066624],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654842.5576632,[  90.11271887    0.60276542 -175.02785605],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654842.842225,[  90.12108792    0.62785572 -175.10600219],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654843.118795,[  90.11832961    0.62708319 -175.14017068],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654843.4167626,[  90.12106067    0.62804177 -175.14348406],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654843.693936,[  90.12107727    0.63847667 -175.1351093 ],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654843.9910176,[  90.11684051    0.62425432 -175.13470185],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654844.2785592,[  90.11734315    0.6097988  -175.1219293 ],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654844.540653,[  90.11379014    0.5991724  -175.07482151],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654844.8244367,[  90.11368341    0.58709126 -175.02854061],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654845.084879,[  90.11153897    0.57974175 -175.01435845],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1760654845.3455045,[  90.11209954    0.5682875  -175.01665078],[ 9.00007925e+01  1.33294267e-03 -1.79998920e+02]
