Trial 1 5 Degree 90 Degree Rotation
time_elasped,Robot_Angle Z,Ground_Truth
0.7771339416503906,[-8.71721925e-04 -1.70460700e-03  1.79999113e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
1.4018852710723877,[ 3.08885406e-03 -2.69846511e-03 -1.79976932e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
2.015740156173706,[ 1.35555476e-02 -4.67583717e-01 -1.79969272e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
2.6015846729278564,[ 4.97985300e-03 -1.27009432e+00 -1.79591435e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
3.21411395072937,[ 5.07294946e-03 -1.50944573e+00 -1.79159873e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
3.8089981079101562,[ 2.75143097e-03 -1.21192772e+00 -1.78859800e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
4.414513826370239,[ 5.88880356e-03 -9.32000172e-01 -1.78597649e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
5.043240785598755,[ 1.11669578e-02 -7.28770585e-01 -1.78351137e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
5.667811870574951,[ 2.86401570e-02 -6.22471749e-01 -1.78145135e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
6.283568859100342,[ 2.61722196e-02 -6.08121465e-01 -1.77932479e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
6.934371709823608,[ 2.19310778e-02 -6.47070417e-01 -1.77702831e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
7.5765228271484375,[ 2.98595903e-02 -7.28352684e-01 -1.77468303e+02],[-1.54865943e-03 -1.04776489e-03 -1.79998792e+02]
time_elasped,Robot_Angle Z,Ground_Truth
